date,open,high,low,close,volume,daily_return,ma_5,ma_10,volatility_5,volume_change
2023-01-31,96.88,98.93,96.18,98.69,2883,-0.003835671747249414,98.38,99.635,0.016475019029333775,0.06266126059712485
2023-02-01,98.22,99.17,96.61,97.76,4389,-0.009423447157766662,98.14200000000001,99.10799999999999,0.016872198379472455,0.522372528616025
2023-02-02,95.65,97.62,95.47,96.94,2107,-0.008387888707037772,97.814,98.55,0.017097646380629116,-0.5199362041467305
2023-02-03,95.68,97.03,95.45,96.23,2341,-0.007324118011140857,97.738,98.141,0.01477689662806632,0.1110583768391078
2023-02-06,96.57,96.96,95.84,96.71,1110,0.004988049464823785,97.266,97.89,0.005859952319569734,-0.5258436565570269
2023-02-07,94.9,95.4,93.6,94.39,1250,-0.02398924619997922,96.406,97.393,0.010290244448158911,0.12612612612612617
2023-02-08,94.71,95.65,94.45,95.59,3430,0.012713211145248371,95.972,97.05699999999999,0.014046260691212606,1.7440000000000002
2023-02-09,94.29,95.2,94.08,95.18,3054,-0.004289151584893736,95.61999999999999,96.71700000000001,0.013873885962873629,-0.10962099125364433
2023-02-10,94.7,95.24,93.34,93.48,1458,-0.017860895146039057,95.07000000000001,96.404,0.015310571254938413,-0.5225933202357564
2023-02-13,93.39,94.23,92.49,93.16,2107,-0.0034231921266582033,94.35999999999999,95.813,0.014271146716065192,0.4451303155006858
2023-02-14,95.71,96.48,94.13,94.59,1207,0.01534993559467579,94.4,95.40299999999999,0.013648561949926028,-0.42714760322733747
2023-02-15,95.62,95.69,94.96,95.46,1899,0.009197589597208955,94.374,95.173,0.012933796818090492,0.5733222866611434
2023-02-16,94.21,95.11,93.83,94.89,4461,-0.005971087366436145,94.316,94.96799999999999,0.013087528492280101,1.3491311216429698
2023-02-17,96.43,96.94,96.09,96.11,4385,0.012856992306881532,94.842,94.95599999999999,0.009695048612376097,-0.01703653889262502
2023-02-20,94.45,95.28,94.06,94.17,1021,-0.020185204453230687,95.044,94.702,0.015027560308557567,-0.7671607753705816
2023-02-21,93.33,95.57,92.56,95.16,1409,0.010512902198152263,95.15799999999999,94.77900000000001,0.014100484956778236,0.38001958863858953
2023-02-22,92.48,92.52,91.2,91.7,1894,-0.03635981504833963,94.406,94.39,0.02082348847359357,0.3442157558552166
2023-02-23,90.73,91.37,89.71,90.21,1514,-0.016248636859323984,93.47,93.893,0.021099635930298268,-0.20063357972544882
2023-02-24,91.68,92.33,91.12,91.23,4198,0.011306950448952469,92.494,93.668,0.020689365245380068,1.7727873183619551
2023-02-27,91.6,92.35,91.57,92.19,1808,0.010522854324235276,92.098,93.571,0.02152331857998947,-0.5693187232015245
2023-02-28,92.11,92.98,91.77,92.15,4771,-0.00043388653867004745,91.49600000000001,93.327,0.020186479061421136,1.6388274336283186
2023-03-01,92.3,92.43,90.45,91.01,1873,-0.012371134020618513,91.35799999999999,92.882,0.0127022851924989,-0.607419828128275
2023-03-02,92.18,92.93,91.51,91.7,1013,0.007581584441270106,91.656,92.563,0.00992644111359301,-0.45915643352909774
2023-03-03,89.67,89.79,89.53,89.62,1970,-0.02268266085059978,91.334,91.914,0.013924006055643279,0.9447186574531097
2023-03-06,89.38,90.02,89.14,89.88,4025,0.0029011381388082125,90.872,91.485,0.012334745129838856,1.0431472081218276
2023-03-07,88.85,90.62,88.71,89.27,4061,-0.006786826880284869,90.296,90.896,0.012071065988282694,0.008944099378882076
2023-03-08,89.82,89.85,88.45,89.68,4083,0.004592808334267007,90.03,90.694,0.012309730270551,0.005417384880571197
2023-03-09,91.37,91.49,89.91,90.23,3134,0.00613291703835861,89.736,90.696,0.012015505984244822,-0.2324271369091354
2023-03-10,88.93,89.28,87.93,88.2,4595,-0.022498060512024853,89.452,90.393,0.01194060473583753,0.46617740906190175
2023-03-13,88.42,89.94,88.11,89.02,3956,0.009297052154194851,89.28,90.07600000000001,0.01304040019157897,-0.1390642002176279
2023-03-14,89.12,89.71,88.85,89.14,2560,0.001348011682767991,89.25399999999999,89.775,0.012775635529537,-0.352881698685541
2023-03-15,89.05,89.18,87.18,87.5,2324,-0.018398025577742838,88.81800000000001,89.424,0.014613165791411177,-0.09218749999999998
2023-03-16,89.12,89.67,88.26,88.85,2266,0.015428571428571347,88.542,89.13900000000001,0.016785426661660063,-0.02495697074010328
2023-03-17,88.87,90.65,88.16,89.37,3169,0.005852560495216874,88.776,89.114,0.012868864192214016,0.39849955869373344
2023-03-20,90.32,90.35,89.88,90.17,4218,0.008951549737048259,89.006,89.143,0.01282547716600333,0.3310192489744399
2023-03-21,90.36,90.36,89.25,89.67,4638,-0.00554508151269828,89.112,89.183,0.013358022382242676,0.09957325746799439
2023-03-22,89.06,89.07,88.66,88.9,1749,-0.00858704137392663,89.392,89.10499999999999,0.010063090148448162,-0.6228978007761967
2023-03-23,89.97,90.07,89.19,89.47,4427,0.006411698537682753,89.516,89.029,0.007904778184497386,1.5311606632361348
2023-03-24,91.11,91.18,89.81,90.12,1684,0.0072650050296190205,89.66600000000001,89.22099999999999,0.00812509663078475,-0.6196069573074316
2023-03-27,89.78,91.51,89.68,91.22,2927,0.012205947625388402,89.876,89.441,0.008940715283156955,0.7381235154394299
2023-03-28,90.03,90.35,89.27,90.07,4804,-0.012606884455163447,89.956,89.53399999999999,0.010852987143737822,0.6412709258626581
2023-03-29,87.33,88.62,86.56,88.6,4702,-0.01632063950260909,89.896,89.64399999999999,0.012906567059651219,-0.021232306411323898
2023-03-30,87.24,88.13,86.34,87.86,3356,-0.008352144469525924,89.57399999999998,89.54499999999999,0.012583625378863034,-0.2862611654615057
2023-03-31,88.44,88.87,88.13,88.51,1694,0.007398133394036055,89.252,89.45899999999999,0.012612368768264706,-0.49523241954707986
2023-04-03,89.3,89.86,89.1,89.81,3335,0.014687605920234992,88.97,89.423,0.013410277548260621,0.9687131050767415
2023-04-04,90.67,90.79,90.01,90.16,1306,0.0038971161340606297,88.988,89.47200000000001,0.012464188632897822,-0.6083958020989505
2023-04-05,90.14,91.98,89.97,91.23,4883,0.011867790594498828,89.51400000000001,89.705,0.008975189571355666,2.738897396630934
2023-04-06,91.0,92.32,90.62,90.95,4665,-0.003069165844568733,90.132,89.853,0.006963469307147771,-0.044644685644071314
2023-04-07,90.64,91.18,89.28,90.28,2989,-0.007366684991753747,90.48599999999999,89.869,0.009424863555399291,-0.35927116827438366
2023-04-10,91.65,92.28,90.71,90.79,3961,0.005649091714665433,90.682,89.826,0.007542017083170489,0.32519237203077944
2023-04-11,91.75,92.79,90.92,91.32,4794,0.005837647317986416,90.914,89.95100000000001,0.007699743362831142,0.2103004291845494
2023-04-12,93.02,93.19,90.99,91.68,1661,0.003942181340341744,91.00399999999999,90.259,0.005920997280856175,-0.6535252398831873
2023-04-13,94.0,94.87,93.64,94.68,1548,0.0327225130890052,91.75,90.941,0.014780755445863126,-0.06803130644190247
2023-04-14,90.89,92.9,90.87,92.2,4423,-0.026193493874102303,92.13400000000001,91.31,0.020868414644706745,1.857235142118863
2023-04-17,92.43,92.82,91.18,92.08,1311,-0.0013015184381779399,92.39200000000001,91.537,0.02099482595196111,-0.7035948451277414
2023-04-18,92.39,93.13,92.13,92.58,3920,0.0054300608166810704,92.644,91.779,0.02098184804708798,1.9900839054157133
2023-04-19,91.69,93.02,91.58,92.14,2082,-0.004752646359904911,92.736,91.87,0.02123473297188991,-0.4688775510204082
2023-04-20,92.12,94.09,92.11,93.62,4714,0.016062513566312164,92.524,92.137,0.01561038319458528,1.2641690682036502
2023-04-21,89.9,91.29,89.31,90.65,3971,-0.03172399060029907,92.214,92.174,0.01778439660217741,-0.15761561306745864
2023-04-24,89.93,90.29,88.55,89.81,2737,-0.009266409266409315,91.76,92.076,0.017921623763877764,-0.31075295895240496
2023-04-25,90.56,91.13,89.49,89.75,1754,-0.0006680770515532508,91.194,91.919,0.017241727106420194,-0.3591523565948118
2023-04-26,92.5,92.76,90.66,90.9,1034,0.012813370473537589,90.946,91.84100000000001,0.019249883870223177,-0.4104903078677309
2023-04-27,90.57,91.54,90.05,91.29,1444,0.00429042904290422,90.48,91.502,0.016990644889542193,0.3965183752417796
2023-04-28,91.45,92.06,89.66,90.0,3140,-0.014130791981597168,90.35,91.28200000000001,0.01071085613479777,1.1745152354570636
2023-05-01,88.9,89.52,87.98,89.17,2982,-0.009222222222222243,90.22200000000001,90.991,0.01070275024180768,-0.05031847133757961
2023-05-02,90.72,90.84,90.18,90.47,2230,0.01457889424694403,90.366,90.78,0.012903355708478585,-0.25217974513749164
2023-05-03,91.42,91.61,90.4,90.58,1352,0.0012158726649718066,90.30199999999999,90.624,0.011347061543575074,-0.39372197309417045
2023-05-04,90.73,91.79,90.44,91.44,1902,0.009494369618017195,90.332,90.40599999999999,0.012125845424705621,0.4068047337278107
2023-05-05,90.8,91.77,90.24,91.55,2355,0.001202974628171427,90.642,90.49600000000001,0.009096871387255403,0.23817034700315465
2023-05-08,91.1,91.38,90.69,91.2,4888,-0.0038230475150190513,91.048,90.635,0.00737311177881832,1.075583864118896
2023-05-09,91.93,93.49,91.67,92.91,3909,0.018749999999999822,91.536,90.951,0.008876483008437996,-0.2002864157119476
2023-05-10,91.18,92.05,90.64,91.51,2748,-0.015068345710902986,91.72200000000001,91.012,0.012869904979995721,-0.2970069071373753
2023-05-11,91.57,91.88,90.13,90.71,1158,-0.008742213965686974,91.576,90.954,0.012838499371308388,-0.5786026200873362
2023-05-12,90.93,91.81,90.24,91.51,2977,0.008819314298313508,91.56800000000001,91.10499999999999,0.013669665483877422,1.5708117443868739
2023-05-15,88.94,89.71,88.62,89.56,1956,-0.021309146541361623,91.24,91.144,0.016772750424365518,-0.3429627141417534
2023-05-16,90.03,90.2,88.98,89.07,3071,-0.005471192496650401,90.47200000000001,91.00399999999999,0.011361142910209149,0.5700408997955011
2023-05-17,90.0,90.62,89.68,89.75,1403,0.007634444818682029,90.12,90.92099999999999,0.012487806562820612,-0.543145555193748
2023-05-18,90.26,90.72,88.81,89.41,3852,-0.0037883008356546233,89.85999999999999,90.718,0.012192046357205364,1.7455452601568067
2023-05-19,89.93,90.02,88.52,88.92,1515,-0.005480371323118183,89.342,90.455,0.010310269127375921,-0.6066978193146417
2023-05-22,87.79,88.92,87.6,88.66,3779,-0.0029239766081872176,89.16199999999999,90.201,0.005500824226443247,1.4943894389438945
2023-05-23,87.5,89.26,87.3,88.73,2387,0.0007895330475975459,89.094,89.78299999999999,0.005220221889851192,-0.368351415718444
2023-05-24,87.81,88.16,86.72,86.74,4453,-0.022427589315902274,88.49199999999999,89.306,0.009050581978322009,0.8655215751989946
2023-05-25,86.94,87.64,86.28,86.92,3579,0.0020751671662440074,87.994,88.92699999999999,0.009875187128761976,-0.19627217606108238
2023-05-26,86.46,87.24,86.05,86.15,1955,-0.008858720662678232,87.44,88.391,0.009980529265724751,-0.4537580329701034
2023-05-29,86.94,87.24,86.61,86.63,3199,0.00557167730702246,87.03399999999999,88.098,0.011325006411172466,0.636317135549872
2023-05-30,89.4,90.04,87.79,88.47,4633,0.021239755281080575,86.982,88.038,0.01633094519349473,0.44826508283838695
2023-05-31,88.64,89.52,88.13,88.51,2712,0.00045213066576255123,87.336,87.91400000000002,0.010968959672264104,-0.41463414634146345
2023-06-01,89.47,90.51,88.9,89.22,3994,0.008021692464128316,87.796,87.895,0.01101734252570864,0.47271386430678475
2023-06-02,89.02,89.87,87.62,88.71,1607,-0.00571620712844656,88.308,87.874,0.010056491206912781,-0.5976464697045568
2023-06-05,87.09,87.44,86.94,87.34,4688,-0.015443580205162788,88.45,87.742,0.013894467439036063,1.9172370877411327
2023-06-06,87.73,87.77,87.04,87.15,3467,-0.002175406457522344,88.186,87.584,0.008606559871485342,-0.2604522184300341
2023-06-07,87.65,87.92,86.99,87.12,2273,-0.000344234079173833,87.908,87.622,0.008534411201488592,-0.34438996250360543
2023-06-08,90.11,90.31,88.46,89.25,4188,0.024449035812672104,87.91400000000002,87.855,0.014778929060808384,0.8424989001319843
2023-06-09,90.16,90.18,89.17,89.22,3913,-0.0003361344537815558,88.01599999999999,88.162,0.014436582733736141,-0.06566380133715377
2023-06-12,89.82,90.74,89.68,90.19,2535,0.01087200179331993,88.586,88.518,0.011292929165545655,-0.3521594684385382
2023-06-13,90.11,90.17,89.72,90.02,4811,-0.0018849096352145933,89.16,88.673,0.011237795465512688,0.8978303747534517
2023-06-14,88.45,88.52,88.02,88.12,3625,-0.021106420795378722,89.35999999999999,88.634,0.01685477296890313,-0.24651839534400333
2023-06-15,89.91,90.09,89.57,89.8,3382,0.01906491148433953,89.47,88.69200000000001,0.015182894822649055,-0.06703448275862067
2023-06-16,90.43,90.9,90.34,90.88,2441,0.012026726057906334,89.80199999999999,88.909,0.01583791017352792,-0.2782377291543465
2023-06-19,91.34,91.49,89.92,90.46,3979,-0.004621478873239493,89.856,89.22099999999999,0.01562117545589534,0.6300696435886932
2023-06-20,90.68,91.53,90.14,90.65,2797,0.002100375856732395,89.982,89.571,0.01555812517086019,-0.2970595627041971
2023-06-21,91.38,92.13,91.31,91.45,1294,0.008825151682294585,90.648,90.00399999999999,0.00911151013985245,-0.5373614587057562
2023-06-22,91.43,91.8,90.32,90.67,1754,-0.00852925095680701,90.822,90.146,0.008686616658060801,0.3554868624420402
2023-06-23,90.47,90.67,89.87,90.59,2394,-0.0008823205029226955,90.76400000000001,90.28299999999999,0.0066190675268867636,0.36488027366020526
2023-06-26,92.55,92.64,91.5,92.26,1185,0.01843470581741924,91.124,90.49,0.010198897594715954,-0.5050125313283208
2023-06-27,92.75,92.76,91.08,91.36,2269,-0.009755040104053814,91.266,90.624,0.01197193565824024,0.9147679324894515
2023-06-28,92.0,92.17,91.44,91.63,1636,0.0029553415061296384,91.30199999999999,90.975,0.011360800009933853,-0.2789775231379462
2023-06-29,92.01,92.28,91.05,91.83,2291,0.0021826912583216007,91.534,91.178,0.0101957228698202,0.40036674816625917
2023-06-30,91.51,91.9,90.71,90.75,4714,-0.011760862463247257,91.566,91.16499999999999,0.012103399745058696,1.0576167612396334
2023-07-03,89.64,90.07,89.36,89.97,4308,-0.008595041322314034,91.10799999999999,91.11600000000001,0.007002184572998305,-0.08612643190496394
2023-07-04,89.27,89.76,87.95,88.89,1529,-0.01200400133377788,90.61399999999999,90.94,0.007442794953491748,-0.6450789229340761
2023-07-05,88.69,88.9,87.9,88.62,4623,-0.0030374620317246137,90.01199999999999,90.65700000000001,0.006116290686036463,2.0235448005232177
2023-07-06,88.79,89.64,87.42,88.52,3068,-0.0011284134506884813,89.35,90.44200000000001,0.004999040708712023,-0.336361669911313
2023-07-07,88.7,89.21,87.66,87.88,3958,-0.007230004518752886,88.776,90.171,0.004359134834915478,0.29009126466753576
2023-07-10,89.69,90.02,89.43,89.78,4808,0.021620391442876752,88.738,89.923,0.012977639569278538,0.2147549267306721
2023-07-11,88.56,88.69,88.03,88.55,3914,-0.013700155936734237,88.66999999999999,89.64200000000001,0.013374341439431194,-0.1859400998336106
2023-07-12,88.49,88.98,88.11,88.46,1793,-0.0010163749294184177,88.638,89.325,0.013316265914721957,-0.5419008686765457
2023-07-13,89.67,90.8,89.55,89.97,4591,0.017069862084557963,88.928,89.139,0.015360268180527705,1.5605131065253763
2023-07-14,87.95,88.46,87.67,87.95,3147,-0.022451928420584633,88.942,88.859,0.019047143661700856,-0.31452842517969937
2023-07-17,88.05,89.8,87.41,88.88,3799,0.010574189880613982,88.762,88.75,0.016415443922894166,0.20718144264378768
2023-07-18,89.89,90.53,88.77,89.21,1477,0.003712871287128605,88.89399999999999,88.782,0.01508024485394314,-0.6112134772308502
2023-07-19,88.29,88.74,87.96,88.43,2622,-0.008743414415424144,88.888,88.763,0.015791692912799197,0.7752200406228842
2023-07-20,88.09,89.08,88.04,89.07,4369,0.00723736288589838,88.708,88.818,0.013599718542970976,0.6662852784134248
2023-07-21,88.37,88.63,86.45,87.37,1939,-0.01908611204670474,88.592,88.767,0.012356723188118614,-0.5561913481345846
2023-07-24,89.51,89.87,88.46,88.99,1525,0.018541833581320777,88.614,88.688,0.014578568064833273,-0.21351211964930372
2023-07-25,87.43,88.53,86.67,88.44,3381,-0.006180469715698411,88.46000000000001,88.67699999999999,0.014676128371697902,1.217049180327869
2023-07-26,86.13,87.11,85.78,86.73,1001,-0.019335142469470767,88.12,88.50399999999999,0.016595534919746482,-0.7039337474120082
2023-07-27,86.99,87.85,86.97,87.54,1374,0.00933932895191969,87.81400000000001,88.261,0.01696638466502781,0.37262737262737256
2023-07-28,87.54,88.25,87.23,87.35,3340,-0.002170436371944362,87.81,88.201,0.014558260354545119,1.430858806404658
2023-07-31,88.06,88.52,87.82,87.94,3884,0.006754436176302336,87.6,88.107,0.011431600944080545,0.16287425149700607
2023-08-01,88.99,89.66,87.99,88.17,4052,0.0026154196042755817,87.546,88.003,0.011365303090934812,0.04325437693099898
2023-08-02,88.0,88.64,87.37,88.15,1552,-0.00022683452421456973,87.83,87.975,0.004775783558316467,-0.6169792694965449
2023-08-03,87.72,88.45,87.0,87.93,3365,-0.002495745887691414,87.908,87.861,0.0038550423398326654,1.1681701030927836
2023-08-04,88.08,88.74,88.04,88.26,2525,0.003752985329239067,88.09,87.95,0.0035775286011455053,-0.24962852897473997
2023-08-07,86.88,88.49,86.32,87.17,2851,-0.01234987536823029,87.936,87.768,0.006414297338912567,0.129108910891089
2023-08-08,89.24,89.48,88.83,89.0,1380,0.020993461053114615,88.102,87.824,0.01219521125364267,-0.5159593125219222
2023-08-09,89.57,89.67,89.27,89.5,2646,0.00561797752808979,88.372,88.10100000000001,0.012216315927449215,0.9173913043478261
2023-08-10,88.69,89.15,88.4,88.72,1013,-0.008715083798882639,88.53,88.219,0.013205567724506624,-0.6171579743008315
2023-08-11,88.77,89.32,88.55,88.97,1503,0.0028178539224525956,88.672,88.381,0.01317864818581981,0.4837117472852912
2023-08-14,88.47,88.76,88.03,88.35,3278,-0.006968641114982632,88.908,88.422,0.01190539686613712,1.1809713905522288
2023-08-15,89.76,90.09,89.1,90.03,3008,0.01901528013582343,89.114,88.608,0.011156872519541365,-0.08236729713239777
2023-08-16,90.1,91.87,90.0,90.59,4155,0.0062201488392759074,89.33200000000001,88.852,0.011204071610618661,0.38131648936170204
2023-08-17,89.53,89.58,88.82,89.17,1129,-0.01567501931780546,89.422,88.976,0.013196844485667904,-0.7282791817087846
2023-08-18,90.64,91.47,90.6,90.9,4814,0.019401143882471716,89.808,89.24000000000001,0.01560613712929246,3.263950398582817
2023-08-21,90.51,90.86,89.79,90.51,1837,-0.004290429042904331,90.24,89.574,0.01515797355662031,-0.6184046530951393
2023-08-22,91.64,91.66,90.17,90.51,4216,0.0,90.33600000000001,89.725,0.012969299638276829,1.2950462710941752
2023-08-23,93.44,94.32,92.02,92.93,3938,0.026737377085404912,90.804,90.068,0.01745279192136083,-0.06593927893738138
2023-08-24,93.23,93.55,92.23,92.25,4928,-0.00731733562896808,91.42,90.421,0.015205001425187877,0.25139664804469275
2023-08-25,92.04,93.16,91.33,92.25,3040,0.0,91.69000000000001,90.749,0.013611185484093177,-0.3831168831168831
2023-08-28,91.55,91.91,91.49,91.55,1027,-0.007588075880758827,91.898,91.069,0.014124540238618826,-0.6621710526315789
2023-08-29,90.97,91.84,90.63,91.56,3113,0.00010922992900064266,92.108,91.22200000000001,0.014120048962799786,2.0311587147030186
2023-08-30,91.37,91.69,90.39,90.81,4234,-0.008191349934469239,91.684,91.244,0.004258729862676684,0.3601027947317701
2023-08-31,91.47,91.95,90.55,90.88,2252,0.0007708402158352889,91.41,91.415,0.004496806512911471,-0.4681152574397732
2023-09-01,92.34,92.65,91.46,91.68,1260,0.008802816901408494,91.29599999999999,91.493,0.0069881911741201015,-0.44049733570159855
2023-09-04,91.71,92.49,90.04,90.99,3046,-0.007526178010471285,91.184,91.541,0.006974129018279791,1.4174603174603173
2023-09-05,92.54,92.91,92.0,92.22,2472,0.013517969007583286,91.316,91.712,0.009665471671483029,-0.18844386080105058
2023-09-06,93.65,94.07,92.44,93.94,2447,0.018651051832574206,91.94200000000001,91.813,0.010382323708003348,-0.010113268608414216
2023-09-07,94.39,94.43,91.76,92.56,1459,-0.014690227804981859,92.27799999999999,91.84400000000001,0.014231827965967933,-0.4037597057621577
2023-09-08,95.61,96.9,95.23,96.59,4747,0.0435393258426966,93.26,92.27799999999999,0.023056662357348687,2.2535983550376972
2023-09-11,96.22,96.9,95.83,96.81,1300,0.0022776684957035442,94.424,92.804,0.02148248904502374,-0.7261428270486623
2023-09-12,95.48,96.24,95.27,95.58,3966,-0.012705299039355467,95.09599999999999,93.206,0.024243945026908943,2.0507692307692307
2023-09-13,93.65,95.22,93.17,95.03,4374,-0.005754341912533989,95.314,93.628,0.023870009017600086,0.10287443267776086
2023-09-14,94.93,96.64,94.91,96.33,3334,0.013679890560875485,96.068,94.173,0.022055192533373486,-0.2377686328303612
2023-09-15,94.59,95.34,94.59,95.06,4466,-0.01318384719194432,95.762,94.511,0.011307833640601804,0.3395320935812838
2023-09-18,95.76,96.35,95.18,95.81,4081,0.007889753839680269,95.562,94.99300000000001,0.0122213139346984,-0.08620689655172409
2023-09-19,96.33,96.75,95.18,95.93,4778,0.0012524788644192597,95.632,95.364,0.010663789352621857,0.1707914726782651
2023-09-20,97.02,97.25,95.22,95.66,1629,-0.0028145522777025533,95.758,95.536,0.010288090380770009,-0.6590623691921307
2023-09-21,95.71,95.75,95.54,95.65,1269,-0.00010453690152611994,95.622,95.845,0.007679080334204145,-0.22099447513812154
2023-09-22,93.44,94.27,93.28,93.3,3639,-0.02456874019864097,95.27000000000001,95.516,0.012329440000758902,1.8676122931442078
2023-09-25,92.83,93.53,92.72,93.31,2993,0.00010718113612018243,94.77000000000001,95.166,0.010915580281593864,-0.17752129705963182
2023-09-26,94.38,94.48,92.87,93.9,2628,0.006323009323759621,94.364,94.998,0.01186236412756981,-0.12195121951219512
2023-09-27,93.69,94.72,93.56,94.59,2801,0.007348242811501482,94.15,94.954,0.012979628323091966,0.06582952815829524
2023-09-28,94.02,94.66,92.93,93.27,3891,-0.013954963526799924,93.674,94.648,0.013873418172307026,0.3891467333095322
2023-09-29,93.87,94.41,93.29,93.79,1861,0.005575211750830977,93.772,94.521,0.008859789047209481,-0.5217167823181701
2023-10-02,93.43,93.95,93.27,93.41,4432,-0.004051604648683371,93.792,94.281,0.009163912161034847,1.381515314347125
2023-10-03,91.92,92.66,91.02,92.64,2280,-0.008243228776362188,93.54,93.952,0.009064611217667787,-0.4855595667870036
2023-10-04,93.61,93.95,92.12,92.44,3180,-0.0021588946459413227,93.10999999999999,93.63000000000001,0.007255645727597307,0.39473684210526305
2023-10-05,92.93,92.95,92.48,92.77,4347,0.0035698831674599862,93.01,93.34200000000001,0.00563954523181811,0.36698113207547167
2023-10-06,92.46,92.48,91.75,92.03,2799,-0.007976716610973322,92.65799999999999,93.215,0.00485425237739022,-0.3561076604554866
